Filename,Date,Time,Brightness,SnowDepth_cm,Predicted_cm
WSCT0982_20211221_131841.JPG,12/21/21,13:18,Day,16,3.752740923
WSCT1006_20211222_131847.JPG,12/22/21,13:18,Day,16,2.985013961
WSCT1018_20211223_011848.JPG,12/23/21,1:18,Night,18,2.479586869
WSCT1030_20211223_131848.JPG,12/23/21,13:18,Day,16,3.554669038
WSCT1042_20211224_011847.JPG,12/24/21,1:18,Night,16,2.635477918
WSCT1054_20211224_131847.JPG,12/24/21,13:18,Day,16,2.678357193
WSCT1066_20211225_011847.JPG,12/25/21,1:18,Night,16,2.588502218
WSCT1078_20211225_131848.JPG,12/25/21,13:18,Day,16,3.036894262
WSCT1090_20211226_011855.JPG,12/26/21,1:18,Night,18,2.67592388
WSCT1102_20211226_131901.JPG,12/26/21,13:18,Day,18,2.207510118
WSCT1114_20211227_011909.JPG,12/27/21,1:18,Night,18,2.588017239
WSCT1126_20211227_131915.JPG,12/27/21,13:18,Day,18,2.279538842
WSCT1138_20211228_011916.JPG,12/28/21,1:18,Night,18,2.560891959
WSCT1150_20211228_131915.JPG,12/28/21,13:18,Day,20,2.304415257
WSCT1162_20211229_011915.JPG,12/29/21,1:18,Night,20,2.321144032
WSCT1174_20211229_131915.JPG,12/29/21,13:18,Day,20,2.088432755
WSCT1186_20211230_011916.JPG,12/30/21,1:18,Night,20,2.320435608
WSCT1198_20211230_131915.JPG,12/30/21,13:18,Day,18,2.552642891
WSCT1210_20211231_011915.JPG,12/31/21,1:18,Night,18,2.267827617
WSCT1222_20211231_131915.JPG,12/31/21,13:18,Day,16,3.038144647
